block_number,block_timestamp,transaction_hash,transaction_index,log_index,topics,data
57892753,2024-06-08 00:05:16,0x600163291c5543698c05c6a14d49f1b548e31387c45804fe5f59b30953786682,14,221,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003f1cb2f433f08a6f93c620000000000000000000000000000000000000000003f2790857db2eb997e7fc40000000000000000000000000000000000000000001161b05218d9bf18a85c9b00000000000000000000000000000000000000000343cdd6a7ce5f6cee463ed80000000000000000000000000000000000000000035f267af820ca4fe160f3f8
57892753,2024-06-08 00:05:16,0x600163291c5543698c05c6a14d49f1b548e31387c45804fe5f59b30953786682,14,226,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e000000000000000000000000000000000000000000000000003368c7baa72d35
57892810,2024-06-08 00:07:16,0x3197afa96a91cc67b3701440c944c4c5cf3ed84f7ab310bcdc9d15ca41f3f098,83,306,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003f1cb33a5e8e9681305690000000000000000000000000000000000000000003f27908d8bbc4565802ea50000000000000000000000000000000000000000001161b058be07dc60f68ce000000000000000000000000000000000000000000343cdd7a63fe839cbeb598c0000000000000000000000000000000000000000035f267f7e06ae2beb337b07
57892810,2024-06-08 00:07:16,0x3197afa96a91cc67b3701440c944c4c5cf3ed84f7ab310bcdc9d15ca41f3f098,83,311,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000c085ea4e06a4669f7a3fa25bdcb9b6f2a3deca5d', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c085ea4e06a4669f7a3fa25bdcb9b6f2a3deca5d000000000000000000000000000000000000000000000000000170adb6ef0221
57892826,2024-06-08 00:07:50,0xc8d2c963bbcc003cb51cbe0f8e22c4798f7f7150d496cc056b103970d6c4211f,52,209,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003f1cb34bb31a8d0eb23580000000000000000000000000000000000000000003f27908f8908810851ea140000000000000000000000000000000000000000001161b05a62338d9416c78400000000000000000000000000000000000000000343cdd7ee578b1e34be8ca10000000000000000000000000000000000000000035f2680c618e3865a8fe2ce
57892826,2024-06-08 00:07:50,0xc8d2c963bbcc003cb51cbe0f8e22c4798f7f7150d496cc056b103970d6c4211f,52,214,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000c085ea4e06a4669f7a3fa25bdcb9b6f2a3deca5d', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c085ea4e06a4669f7a3fa25bdcb9b6f2a3deca5d00000000000000000000000000000000000000000000000000008ef6520435ab
57892852,2024-06-08 00:09:18,0x711e1456101e1a738bbd7bac38f405f08af187ec5ed06f76027eb0b75a13e05a,12,128,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003f2d8aff5fce6bb11bc7f0000000000000000000000000000000000000000003f297f6910d411d52c3e0f0000000000000000000000000000000000000000001163489aa56eb1d6b14ccc00000000000000000000000000000000000000000343cdd8a8ef12dde44254aa0000000000000000000000000000000000000000035f26841738f7b8575ce3b7
57892852,2024-06-08 00:09:18,0x711e1456101e1a738bbd7bac38f405f08af187ec5ed06f76027eb0b75a13e05a,12,132,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000eb3d822284758e22c492b1aaefa48ecb4b20ce9d', '0x000000000000000000000000eb3d822284758e22c492b1aaefa48ecb4b20ce9d']",0x000000000000000000000000000000000000000000000000fe09b82b61142b2e
57892859,2024-06-08 00:09:32,0xf1bc53ca3577b378263817d472937e9cb4c5ac514d82353048ea69146f4c975e,4,11,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003f2d95dc46ff752e9218b0000000000000000000000000000000000000000003f2980a826ea2aebddc4a5000000000000000000000000000000000000000000116349a1e474202303c23c00000000000000000000000000000000000000000343cdd8c6a6602795f3408e0000000000000000000000000000000000000000035f26849e5bebc224f12237
57892859,2024-06-08 00:09:32,0xf1bc53ca3577b378263817d472937e9cb4c5ac514d82353048ea69146f4c975e,4,13,"['0xb3d084820fb1a9decffb176436bd02558d15fac9b0ddfed8c465bc7359d7dce0', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x00000000000000000000000079d2aefe6a21b26b024d9341a51f6b7897852499', '0x00000000000000000000000000000000000000000000000000000000000000c4']",0x00000000000000000000000079d2aefe6a21b26b024d9341a51f6b7897852499000000000000000000000000000000000000000000000000002b90145fb053750000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000116349a1e474202303c23c
