block_number,block_timestamp,transaction_hash,transaction_index,log_index,topics,data
57969232,2024-06-10 00:01:43,0x2d24b57a12550d18b76ab6971f46e02f1decaafd30f8cc27a727856decaee719,94,730,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc8233f7eba8f4b3d7d50000000000000000000000000000000000000000003f3b32b7a00327158da2390000000000000000000000000000000000000000001171e2eea85bf02bce72a200000000000000000000000000000000000000000343d38c6efbf1afea3dd7610000000000000000000000000000000000000000035f3ff1f7b3ca25c5ae87e3
57969232,2024-06-10 00:01:43,0x2d24b57a12550d18b76ab6971f46e02f1decaafd30f8cc27a727856decaee719,94,735,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000a7a7ffe0520e90491e58c9c77f78d7cfc32d019e0000000000000000000000000000000000000000000000000052c55a43e84cdc
57969321,2024-06-10 00:04:51,0xc02a7f17faeffb85d7361f41bec70679e9a030009af792a5c77670905fe4fbb2,61,396,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc81d9be6c588c3111fb0000000000000000000000000000000000000000003f3b3212b1af2eafa106fb0000000000000000000000000000000000000000001171e26696f0433e1e729000000000000000000000000000000000000000000343d38e01da56eb3187ca0e0000000000000000000000000000000000000000035f3ff9148e4a420e2d71e1
57969321,2024-06-10 00:04:51,0xc02a7f17faeffb85d7361f41bec70679e9a030009af792a5c77670905fe4fbb2,61,399,"['0xa534c8dbe71f871f9f3530e97a74601fea17b426cae02e1c5aee42c96c784051', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x00000000000000000000000079d2aefe6a21b26b024d9341a51f6b7897852499', '0x00000000000000000000000079d2aefe6a21b26b024d9341a51f6b7897852499']",0x000000000000000000000000000000000000000000000000002225237af8d7f50000000000000000000000000000000000000000000000000000000000000000
57969321,2024-06-10 00:04:51,0xc02a7f17faeffb85d7361f41bec70679e9a030009af792a5c77670905fe4fbb2,61,421,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc81b51a28caf7d51a5d0000000000000000000000000000000000000000003f3b31cfb68346a3fe18380000000000000000000000000000000000000000001171e22f5485a3ce1e6d9400000000000000000000000000000000000000000343d38e045e40d5d1d3c2ac0000000000000000000000000000000000000000035f3ff9148e4a420e2d71e1
57969326,2024-06-10 00:05:01,0x41546077b48c1459c47aae635b3f1c265471c546dcce38a441d7bba0be20e686,35,160,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc81a82f07bbc92d35d00000000000000000000000000000000000000000003f3b31b8190ff934a9c29c0000000000000000000000000000000000000000001171e21bd90683ebdf408d00000000000000000000000000000000000000000343d38e19cc1d7804d7c5b90000000000000000000000000000000000000000035f3ff97568e0683584b3d8
57969326,2024-06-10 00:05:01,0x41546077b48c1459c47aae635b3f1c265471c546dcce38a441d7bba0be20e686,35,165,"['0x2b627736bca15cd5381dcf80b0bf11fd197d01a037c52b927a881a10fb73ba61', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x0000000000000000000000005eb2f2f67ba592fd9f9e454546e310d4c2c9fe7a', '0x0000000000000000000000000000000000000000000000000000000000000000']",0x000000000000000000000000c4aff49fced8ac1d818a6dcab063f9f97e66ec5e000000000000000000000000000000000000000000000000000c826f05edb663
57969455,2024-06-10 00:09:35,0x977b1ae6d9d475dff8550cedecb96b52847afe5da8c89af4cdd2777f14694563,69,328,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc81b609c97f9436e79d0000000000000000000000000000000000000000003f3b31d16c8dbb847a75330000000000000000000000000000000000000000001171e230bde7ddd41ea0b000000000000000000000000000000000000000000343d39064f4b3748b16b9a00000000000000000000000000000000000000000035f4003d33491077929b02c
57969455,2024-06-10 00:09:35,0x977b1ae6d9d475dff8550cedecb96b52847afe5da8c89af4cdd2777f14694563,69,332,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619', '0x00000000000000000000000013ae56e4353b0103cf90b0925b0fc88014c13380', '0x00000000000000000000000013ae56e4353b0103cf90b0925b0fc88014c13380']",0x00000000000000000000000000000000000000000000000000002b9950262297
57969611,2024-06-10 00:15:07,0x09fedb05880d1b6a79510b5104299417991ea57a7f698aae87f4c4cee7346b7a,73,479,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000007ceb23fd6bc0add59e62ac25578270cff1b9f619']",0x00000000000000000000000000000000000000000003fc69ab451e77cf74b7020000000000000000000000000000000000000000003f3b05de3d8315cdee34610000000000000000000000000000000000000000001171bdee83e57b83eaeb3600000000000000000000000000000000000000000343d3932c67532aa3f685310000000000000000000000000000000000000000035f401062c11681a13abcdb
