block_number,block_timestamp,transaction_hash,transaction_index,log_index,topics,data
57931343,2024-06-09 00:01:34,0xf232d0aedddc56f70d03d7d9831cb5d2ddf55e8227d9b8ad69477fbb8b18308a,39,127,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174']",0x000000000000000000000000000000000000000000371340c574b6bc3ab2cb980000000000000000000000000000000000000000005f11dfa7481b7deb6bea6400000000000000000000000000000000000000000051995a18710bb6cc6e4fe00000000000000000000000000000000000000000038a7d1299fe699360f26b21000000000000000000000000000000000000000003af2be608a339612df68b51
57931343,2024-06-09 00:01:34,0xf232d0aedddc56f70d03d7d9831cb5d2ddf55e8227d9b8ad69477fbb8b18308a,39,131,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174', '0x000000000000000000000000e3e5e1946d6e4d8a5e5f155b6e059a2ca7c43c58', '0x000000000000000000000000a9cffe466ba8a72707d1104de239c9ab477e2493']",0x00000000000000000000000000000000000000000000000000000000099134d6
57931373,2024-06-09 00:03:10,0x9a6030bf7a15246c51a53a2c9484db2d373e253f7c610cf69d7cb4b1864a3252,39,226,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174']",0x0000000000000000000000000000000000000000003713428e6eb647d64453040000000000000000000000000000000000000000005f11dfb8718acea2a83e4600000000000000000000000000000000000000000051995b6fadbe051d24dd710000000000000000000000000000000000000000038a7d1ea47d9c4e5c2a20c0000000000000000000000000000000000000000003af2bf89874eb19acfec21c
57931373,2024-06-09 00:03:10,0x9a6030bf7a15246c51a53a2c9484db2d373e253f7c610cf69d7cb4b1864a3252,39,230,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174', '0x000000000000000000000000e3e5e1946d6e4d8a5e5f155b6e059a2ca7c43c58', '0x000000000000000000000000a9cffe466ba8a72707d1104de239c9ab477e2493']",0x00000000000000000000000000000000000000000000000000000000006c75f0
57931577,2024-06-09 00:10:56,0x468daac52e04eeff9a5201cb9d65f5dc36bce4eea4c0c6884b16af39acd3fe5b,56,1007,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174']",0x000000000000000000000000000000000000000000371343b9cbb67247f074ee0000000000000000000000000000000000000000005f11dfc2adfd18e09a54ea00000000000000000000000000000000000000000051995c3c66abd1f40ea24f0000000000000000000000000000000000000000038a7d591774639e526ecf5d000000000000000000000000000000000000000003af2c52b29ad031d803c15f
57931577,2024-06-09 00:10:56,0x468daac52e04eeff9a5201cb9d65f5dc36bce4eea4c0c6884b16af39acd3fe5b,56,1010,"['0xa534c8dbe71f871f9f3530e97a74601fea17b426cae02e1c5aee42c96c784051', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174', '0x0000000000000000000000004ff409391681e5129ab13aab94a59bf3a178af94', '0x0000000000000000000000004ff409391681e5129ab13aab94a59bf3a178af94']",0x00000000000000000000000000000000000000000000000000000000000292eb0000000000000000000000000000000000000000000000000000000000000000
57931823,2024-06-09 00:20:10,0x40266b8cafc639e1d0e6e4aad381811e1f157fe7e6876849039d0fd1feb9a4e2,105,350,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174']",0x00000000000000000000000000000000000000000037134ff78f01a0376be38a0000000000000000000000000000000000000000005f11e038a1c6abaff6011700000000000000000000000000000000000000000051996573726b4a273815bc0000000000000000000000000000000000000000038a7d9e9410e48ff433c849000000000000000000000000000000000000000003af2cbdd0a3c51a32cb4a34
57931823,2024-06-09 00:20:10,0x40266b8cafc639e1d0e6e4aad381811e1f157fe7e6876849039d0fd1feb9a4e2,105,355,"['0x3115d1449a7b732c986cba18244e897a450f61e1bb8d589cd2e69e6c8924f9f7', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174', '0x00000000000000000000000078f8bd884c3d738b74b420540659c82f392820e0', '0x00000000000000000000000078f8bd884c3d738b74b420540659c82f392820e0']",0x0000000000000000000000000000000000000000000000000000000002faf080
57931842,2024-06-09 00:20:58,0x10f1fa8c265f5983d4252579156f2ad16d0a4fa6353f7cef164658ad8c315c75,201,1168,"['0x804c9b842b2748a22bb64b345453a3de7ca54a6ca45ce00d415894979e22897a', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174']",0x00000000000000000000000000000000000000000037134fd0c84a588fa4496a0000000000000000000000000000000000000000005f11e0371ac3940e41fffd00000000000000000000000000000000000000000051996554e62d718527ffc70000000000000000000000000000000000000000038a7da49953152a8deba341000000000000000000000000000000000000000003af2cc7188ffc7a406e7eea
57931842,2024-06-09 00:20:58,0x10f1fa8c265f5983d4252579156f2ad16d0a4fa6353f7cef164658ad8c315c75,201,1171,"['0xa534c8dbe71f871f9f3530e97a74601fea17b426cae02e1c5aee42c96c784051', '0x0000000000000000000000002791bca1f2de4661ed88a30c99a7a9449aa84174', '0x000000000000000000000000eb64fb4718c7828b0f3340e6b760115566f6bd77', '0x000000000000000000000000eb64fb4718c7828b0f3340e6b760115566f6bd77']",0x000000000000000000000000000000000000000000000000000000000010df120000000000000000000000000000000000000000000000000000000000000000
