block_timestamp,liquidity_rate,stable_borrow_rate,variable_borrow_rate,liquidity_index,variable_borrow_index
2024-06-26 00:00:00,0.004135247519868618371135438,0.069970027140057853990953476,0.018754768319539051443893596,1.010676412267161511372171497,1.04454687728838614300315646
2024-06-26 00:01:00,0.004135247519868618371135438,0.069970027140057853990953476,0.018754768319539051443893596,1.010676412267161511372171497,1.04454687728838614300315646
2024-06-26 00:02:00,0.004135156406795875042106398,0.069969832312416583523506929,0.018754636810881193878367176,1.010676424853580430231841148,1.044546935681348538497095941
2024-06-26 00:03:00,0.004135150218422484537453929,0.069969819079712319937674076,0.018754627878805815957930001,1.010676433936685413262140736,1.044546976680407168294618049
2024-06-26 00:04:00,0.004135150424810505109173021,0.069969819521035479453179661,0.018754628176698948630896271,1.010676444604436342593539827,1.044547025133826981504321397
2024-06-26 00:05:00,0.004135084345865519645198982,0.06996967822276880054248739,0.018754532800368940366178988,1.010676453004740075518753948,1.044547062405646213272584981
2024-06-26 00:06:00,0.00413508451732775563818448,0.069969678589412071440476923,0.018754533047853148222321923,1.010676462559246886071765829,1.044547103404489137969889791
2024-06-26 00:07:00,0.004135084621927345229393027,0.06996967881308076959263455,0.018754533198829519475028321,1.010676468236080125191074111,1.044547128252273788167750453
2024-06-26 00:08:00,0.004135151010182436571570143,0.069969820772746595423410545,0.018754629021603951910802118,1.010676476460828908374062514,1.044547164281619980841491615
2024-06-26 00:09:00,0.004135151124731177240333168,0.069969821017688177080342986,0.018754629186939519529231515,1.010676482790889532879748033,1.04454719161432461612638858
2024-06-26 00:10:00,0.004134480337153774908746368,0.069968386610366793745646299,0.018753660961997585778311251,1.010676494186457219716141697,1.044547243794945107410607018
2024-06-26 00:11:00,0.004134480526938787899679483,0.069968387016215978673540946,0.018753661235945785604640139,1.010676504147031815000160652,1.044547288518884259720034653
2024-06-26 00:12:00,0.004134480664145178901550869,0.069968387309627455807204405,0.018753661433998532669862974,1.010676511317552305816104027,1.044547320819508534352613384
2024-06-26 00:13:00,0.004134409117818227633868251,0.069968234309523119422240565,0.018753558158928105610012381,1.010676518561196359974494779,1.044547353120138226031182455
2024-06-26 00:14:00,0.004134409245145472579599417,0.069968234581810399607892815,0.01875355834272201973532765,1.010676525067108687715322059,1.044547382935937023968132445
2024-06-26 00:15:00,0.004134409386915385951099285,0.069968234884983091323814899,0.018753558547363586643575056,1.010676532631696204823282679,1.044547416478712088511253317
2024-06-26 00:16:00,0.00413440962382756842216167,0.069968235391615993359426138,0.018753558889340795517612643,1.010676545134557002594675968,1.044547472383340186172484367
2024-06-26 00:17:00,0.00413440962382756842216167,0.069968235391615993359426138,0.018753558889340795517612643,1.010676545134557002594675968,1.044547472383340186172484367
2024-06-26 00:18:00,0.004134409927535425257303807,0.069968236041090355164257945,0.018753559327735989735874113,1.010676560368593791788442405,1.044547543195874564067981332
2024-06-26 00:19:00,0.004134409981686150058612188,0.069968236156890806089818804,0.018753559405901294110627693,1.010676564051440106374037742,1.044547556861452258549937344
2024-06-26 00:20:00,0.00413441023667839510788225,0.069968236702187597380131573,0.018753559773976628231588811,1.010676577007010659935640223,1.044547616493066301832407148
2024-06-26 00:21:00,0.004134410383117776550821205,0.069968237015345839199542573,0.018753559985358441459691236,1.010676584948614159030083341,1.044547651278176774788114016
2024-06-26 00:22:00,0.004134410537053258908236518,0.069968237344534366041278081,0.018753560207560697077862705,1.010676592796321677390661589,1.044547687305614221922478067
2024-06-26 00:23:00,0.004134410712658979783414614,0.06996823772006433921528876,0.018753560461043428970319913,1.010676601653544798351111262,1.044547728302355383189099663
2024-06-26 00:24:00,0.004134410816971420957625013,0.069968237943134791961542096,0.018753560611615984574040915,1.010676607373954263610992451,1.044547753148866346131365763
2024-06-26 00:25:00,0.004134410816971420957625013,0.069968237943134791961542096,0.018753560611615984574040915,1.010676607373954263610992451,1.044547753148866346131365763
2024-06-26 00:26:00,0.004134411167545293888812443,0.069968238692831278868604755,0.01875356111766111323630821,1.010676625194623897450521936,1.044547835142357212784579296
2024-06-26 00:27:00,0.004134411167545293888812443,0.069968238692831278868604755,0.01875356111766111323630821,1.010676625194623897450521936,1.044547835142357212784579296
2024-06-26 00:28:00,0.004134411167545293888812443,0.069968238692831278868604755,0.01875356111766111323630821,1.010676625194623897450521936,1.044547835142357212784579296
2024-06-26 00:29:00,0.004134411635672197097988152,0.069968239693912953182822665,0.018753561793391243398405299,1.010676648839732003507945856,1.044547944467024663554855438
2024-06-26 00:30:00,0.004134411747143473088990588,0.069968239932292434148172755,0.018753561954297393050016609,1.010676654522437717473084029,1.044547970555868390854908557
2024-06-26 00:31:00,0.004134412949633473742079096,0.069968242503797244767010643,0.018753563690063140217732184,1.010676664816619876213417552,1.044548017764255120504734659
2024-06-26 00:32:00,0.004134413182451992118906872,0.069968243001675725742690239,0.018753564026131114876315911,1.01067667684659904039242707,1.0445480724266046433511073
2024-06-26 00:33:00,0.004134412323780210793712048,0.06996824116542052076979764,0.018753562786658851519613408,1.010676684343643155626744442,1.044548105969411087409010941
2024-06-26 00:34:00,0.004134376812702001100055311,0.069968165225430332079595251,0.018753511527165474153726795,1.010676693096948924653297112,1.044548144481502180549415189
2024-06-26 00:35:00,0.004134376832756540585261833,0.069968165268316790191615878,0.018753511556113833379340718,1.010676694375589990259864216,1.044548149450793329454668578
2024-06-26 00:36:00,0.004134378099682693088005399,0.069968167977627155601738943,0.018753513384898330031173786,1.010676707945205511284278845,1.044548211566934902158898565
