timestamp,liquidityRate_avg,variableBorrowRate_avg,utilizationRate_avg,stableBorrowRate_avg
1726956000,0,0,-0.00043811,0
1726959600,0,0,-0.00043811,0
1726963200,0,0,-0.00043811,0
1726966800,0,0,-0.00043811,0
1726970400,0,0,-0.00043807333333333335,0
1726974000,0,0,-0.00043807,0
1726977600,0,0,-0.00043807,0
1726981200,0.00008285423715,0,-0.00043807,0
1726984800,0.00009942508458,0,-0.00043807,0
1726988400,0.00009942508458,0,-0.00043807,0
1726992000,0.00009942508458,0,-0.00043807,0
1726995600,0.00009942508458,0,-0.00043807,0
1726999200,0.00009942508458,0,-0.00043807,0
1727002800,0.00009942508458,0,-0.00043807,0
1727006400,0.00009942508458,0,-0.00043807,0
1727010000,0.00009942508458,0,-0.00043807,0
1727013600,0.00009942508458,0,-0.00043807,0
1727017200,0.000074568813435,0,-0.0004381625,0
1727020800,0,0,-0.00043803833333333334,0
1727024400,0,0,-0.00043786,0
1727028000,0,0,-0.00043747499999999994,0
1727031600,0,0,-0.00043744000000000004,0
1727035200,0,0,-0.00043744000000000004,0
1727038800,0,0,-0.00043744000000000004,0
1727042400,0,0,-0.00043744000000000004,0
1727046000,0,0,-0.000437825,0
1727049600,0,0,-0.00043786,0
1727053200,0,0,-0.00043786,0
1727056800,0,0,-0.00043786,0
1727060400,0,0,-0.00043786,0
1727064000,0,0,-0.00043786,0
1727067600,0,0,-0.00043735583333333333,0
1727071200,0,0,-0.00043442916666666664,0
1727074800,0,0,-0.00043324916666666666,0
1727078400,0,0,-0.00043321,0
1727082000,0,0,-0.00043321,0
1727085600,0,0,-0.00043321,0
1727089200,0,0,-0.00043293666666666667,0
1727092800,0,0,-0.00043239,0
1727096400,0,0,-0.00043239,0
1727100000,0.000707367211254,0,-0.0004327425,0
1727103600,0.000943156281672,0,-0.00043286,0
1727107200,0.000943156281672,0,-0.00043286,0
1727110800,0.000943156281672,0,-0.00043286,0
1727114400,0.000943156281672,0,-0.00043286,0
1727118000,0.000943156281672,0,-0.00043286,0
1727121600,0.000943156281672,0,-0.00043286,0
1727125200,0.000943156281672,0,-0.00043286,0
1727128800,0.000943156281672,0,-0.00043286,0
1727132400,0.00007859635680599999,0,-0.00043448249999999993,0
1727136000,0,0,-0.0004346299999999999,0
1727139600,0,0,-0.0004346299999999999,0
1727143200,0,0,-0.0004346299999999999,0
1727146800,0,0,-0.0004346299999999999,0
1727150400,0,0,-0.0004346299999999999,0
1727154000,0,0,-0.0004346299999999999,0
1727157600,0,0,-0.0004346299999999999,0
1727161200,0,0,-0.0004346033333333333,0
1727164800,0,0,-0.00043431,0
1727168400,0,0,-0.00043431,0
1727172000,0,0,-0.00043431,0
1727175600,0,0,-0.00043431,0
1727179200,0,0,-0.00043431,0
1727182800,0,0,-0.00043431,0
1727186400,0,0,-0.00043431,0
1727190000,0,0,-0.00043431,0
1727193600,0,0,-0.00043431,0
1727197200,0,0,-0.00043431,0
1727200800,0,0,-0.00043431,0
1727204400,0,0,-0.00043431,0
1727208000,0,0,-0.00043431,0
1727211600,0,0,-0.00043431,0
1727215200,0,0,-0.00043431,0
1727218800,0,0,-0.00043431,0
1727222400,0,0,-0.00043431,0
1727226000,0,0,-0.00043431,0
1727229600,0,0,-0.00043431,0
1727233200,0,0,-0.00043431,0
1727236800,0,0,-0.00043420583333333334,0
1727240400,0,0,-0.00043406,0
1727244000,0.00021687367378572003,0,-0.00043406,0
1727247600,0.0008674946951428801,0,-0.00043406,0
1727251200,0.0008674946951428801,0,-0.00043406,0
1727254800,0.00050603857216668,0,-0.0004342391666666667,0
1727258400,0,0,-0.00043449,0
1727262000,0,0,-0.00043449,0
1727265600,0,0,-0.00043449,0
1727269200,0,0,-0.00043449,0
1727272800,0,0,-0.00043449,0
1727276400,0,0,-0.00043449,0
1727280000,0,0,-0.00043449,0
1727283600,0,0,-0.00043449,0
1727287200,0,0,-0.00043449,0
1727290800,0,0,-0.00043449,0
1727294400,0,0,-0.00043449,0
1727298000,0,0,-0.00043449,0
1727301600,0,0,-0.00043449,0
1727305200,0,0,-0.00043449,0
1727308800,0,0,-0.00043449,0
1727312400,0,0,-0.00043449,0
1727316000,0,0,-0.00043449,0
1727319600,0,0,-0.00043449,0
1727323200,0,0,-0.00043449,0
1727326800,0,0,-0.00043442999999999997,0
1727330400,0.00150009518858364,0,-0.00043425,0
1727334000,0.0009546060290986799,0,-0.00043436666666666664,0
1727337600,0.0033425228131192804,0,-0.000434535,0
1727341200,0,0,-0.0004344125,0
1727344800,0.00741752408395152,0,-0.0004349,0
1727348400,0,0,-0.00043555,0
1727352000,0,0,-0.0004353599999999999,0
1727355600,0,0,-0.0004353599999999999,0
1727359200,0.00380839603578912,0,-0.000435595,0
1727362800,0.00105370606899936,0,-0.00043582,0
1727366400,0.00105370606899936,0,-0.00043582,0
1727370000,0.00105370606899936,0,-0.00043582,0
1727373600,0.00105370606899936,0,-0.00043582,0
1727377200,0.00105370606899936,0,-0.00043582,0
1727380800,0.00105370606899936,0,-0.00043582,0
1727384400,0.0006802960931136001,0,-0.0004371033333333333,0
1727388000,0.00064634973166944,0,-0.00043722000000000005,0
